Автономная некоммерческая организация "Институт перспективных научных исследований";Autonomous non-profit organization "Institute for Advanced Scientific Research"
Саратовская государственная юридическая академия;Saratov State Law Academy
Саратовский государственный технический университет имени Гагарина Ю.А.;Gagarin Y.A. Saratov State Technical University.
Саратовский научно-исследовательский ветеринарный институт Российской академии сельскохозяйственных наук;Saratov Veterinary Research Institute of the Russian Academy of Agricultural Sciences
Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;N.G. Chernyshevsky Saratov National Research State University
Сахалинский государственный университет;Sakhalin State University
Сахалинский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Sakhalin Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Свердловская селекционная станция садоводства Всероссийского селекционно-технологического института садоводства и питомниководства Российской академии сельскохозяйственных наук;Sverdlovsk Horticulture Breeding Station of the All-Russian Breeding and Technological Institute of Horticulture and Nursery Production of the Russian Academy of Agricultural Sciences
Севастопольский государственный университет;Sevastopol State University
Северный (Арктический) федеральный университет имени М.В. Ломоносова;Northern (Arctic) Federal University named after M.V. Lomonosov
Северо-Восточный государственный университет;Northeastern State University
Северо-Восточный комплексный научно-исследовательский институт им. Н.А. Шило Дальневосточного отделения Российской академии наук;North-Eastern Integrated Research Institute named after N.A. Shilo of the Far Eastern Branch of the Russian Academy of Sciences
Северо-Восточный региональный научный центр Российской академии сельскохозяйственных наук;North-Eastern Regional Research Center of the Russian Academy of Agricultural Sciences
Северо-Восточный федеральный университет имени М.К. Аммосова;M.K. Ammosov North-Eastern Federal University
Северо-Западный научно-исследовательский институт механизации и электрификации сельского хозяйства Российской академии сельскохозяйственных наук;North-West Research Institute of Mechanization and Electrification of Agriculture of the Russian Academy of Agricultural Sciences
Северо-Западный научно-исследовательский институт молочного и лугопастбищного хозяйства Российской академии сельскохозяйственных наук;North-West Research Institute of Dairy and Meadow Pasture Farming of the Russian Academy of Agricultural Sciences
Северо-Западный научно-исследовательский институт экономики и организации сельского хозяйства Российской академии сельскохозяйственных наук;North-West Research Institute of Economics and Organization of Agriculture of the Russian Academy of Agricultural Sciences
Северо-Западный региональный научный центр Российской академии сельскохозяйственных наук;North-West Regional Research Center of the Russian Academy of Agricultural Sciences
Северо-Кавказская государственная гуманитарно-технологическая академия;North Caucasus State Humanitarian-Technological Academy
Северо-Кавказский горно-металлургический институт (государственный технологический университет);North Caucasus Mining and Metallurgical Institute (State Technological University)
Северо-Кавказский зональный научно-исследовательский ветеринарный институт Российской академии сельскохозяйственных наук;North Caucasus Zonal Veterinary Research Institute of the Russian Academy of Agricultural Sciences
Северо-Кавказский зональный научно-исследовательский институт садоводства и виноградарства Российской академии сельскохозяйственных наук;North Caucasus Zonal Research Institute of Horticulture and Viticulture of the Russian Academy of Agricultural Sciences
Северо-Кавказский научно-исследовательский институт горного и предгорного сельского хозяйства Российской академии сельскохозяйственных наук;North Caucasus Research Institute of Mountain and Foothill Agriculture of the Russian Academy of Agricultural Sciences
Северо-Кавказский научно-исследовательский институт животноводства Российской академии сельскохозяйственных наук;North Caucasus Research Institute of Animal Husbandry of the Russian Academy of Agricultural Sciences
Северо-Кавказский научно-исследовательский институт механизации и электрификации сельского хозяйства Российской академии сельскохозяйственных наук;North Caucasus Research Institute of Mechanization and Electrification of Agriculture of the Russian Academy of Agricultural Sciences
Северо-Кавказский федеральный научный аграрный центр;North Caucasus Federal Scientific Agrarian Center
Северо-Кавказский федеральный научный центр садоводства, виноградарства, виноделия;North Caucasus Federal Scientific Center of Horticulture, Viticulture, and Winemaking
Северо-Кавказский федеральный университет;North Caucasus Federal University
Северо-Кубанская сельскохозяйственная опытная станция Краснодарского научно-исследовательского института сельского хозяйства имени П.П. Лукьяненко Российской академии сельскохозяйственных наук;North Kuban Agricultural Experimental Station of the P.P. Lukyanenko Krasnodar Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Северо-Осетинский государственный университет им. Коста Левановича Хетагурова;Kosta Khetagurov North Ossetian State University. Kosta Levanovich Khetagurov
Северо-Осетинский институт гуманитарных и социальных исследований им. В.И. Абаева Владикавказского научного центра Российской академии наук и Правительства Республики Северная Осетия –Алания;North Ossetian Institute of Humanities and Social Research named after V.I. Abaev of the Vladikavkaz Scientific Center of the Russian Academy of Sciences and the Government of the Republic of North Ossetia-Alania
Сибирская научная сельскохозяйственная библиотека Российской академии сельскохозяйственных наук;Siberian Scientific Agricultural Library of the Russian Academy of Agricultural Sciences
Сибирская опытная станция Всероссийского научно-исследовательского института масличных культур имени B.C. Пустовойта Российской академии сельскохозяйственных наук;Siberian Experimental Station of the All-Russian Research Institute of Oilseed Crops named after B.C. Pustovoit of the Russian Academy of Agricultural Sciences
Сибирский государственный автомобильно-дорожный университет (СибАДИ);Siberian State Automobile and Road University (SibADI)
Сибирский государственный индустриальный университет;Siberian State Industrial University
Сибирский государственный университет геосистем и технологий;Siberian State University of Geosystems and Technologies
Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева;Siberian State University of Science and Technology named after Academician M.F. Reshetnev
Сибирский институт физиологии и биохимии растений Сибирского отделения Российской академии наук;Siberian Institute of Plant Physiology and Biochemistry, Siberian Branch of the Russian Academy of Sciences
Сибирский научно- исследовательский институт животноводства Российской академии сельскохозяйственных наук;Siberian Research Institute of Animal Husbandry of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт земледелия и химизации сельского хозяйства Российской академии сельскохозяйственных наук;Siberian Research Institute of Farming and Chemicalization of Agriculture of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт кормов Российской академии сельскохозяйственных наук;Siberian Research Institute of Forages of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт механизации и электрификации сельского хозяйства Российской академии сельскохозяйственных наук;Siberian Research Institute of Mechanization and Electrification of Agriculture of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт переработки сельскохозяйственной продукции Российской академии сельскохозяйственных наук;Siberian Research Institute for Processing of Agricultural Products of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт птицеводства Российской академии сельскохозяйственных наук;Siberian Research Institute of Poultry Breeding of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт растениеводства и селекции Российской академии сельскохозяйственных наук;Siberian Research Institute of Plant Breeding and Selection of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт сельского хозяйства и торфа Российской академии сельскохозяйственных наук;Siberian Research Institute of Agriculture and Peat of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Siberian Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт сыроделия Российской академии сельскохозяйственных наук;Siberian Research Institute of Cheesemaking of the Russian Academy of Agricultural Sciences
Сибирский научно-исследовательский институт экономики сельского хозяйства Российской академии сельскохозяйственных наук;Siberian Research Institute of Agricultural Economics of the Russian Academy of Agricultural Sciences
Сибирский федеральный научный центр агробиотехнологий Российской академии наук;Siberian Federal Scientific Center of Agrobiotechnologies of the Russian Academy of Sciences
Сибирский федеральный университет;Siberian Federal University
Сибирский физико-технический институт аграрных проблем Российской академии сельскохозяйственных наук;Siberian Institute of Physics and Technology of Agrarian Problems of the Russian Academy of Agricultural Sciences
Сибирское региональное отделение Российской академии сельскохозяйственных наук;Siberian Regional Branch of the Russian Academy of Agricultural Sciences
Смоленская государственная сельскохозяйственная опытная станция имени А.Н. Энгельгардта Смоленского научно-исследовательского института сельского хозяйства Российской академии сельскохозяйственных наук;Smolensk State Agricultural Experimental Station named after A.N. Engelhardt of the Smolensk Agricultural Research Institute of the Russian Academy of Agricultural Sciences.
Смоленский государственный университет;Smolensk State University
Смоленский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Smolensk Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Сочинский государственный университет;Sochi State University
Сочинский научно-исследовательский центр Российской академии наук;Sochi Research Center of the Russian Academy of Sciences
Специальная астрофизическая обсерватория Российской академии наук;Special Astrophysical Observatory of the Russian Academy of Sciences
Специальное конструкторское бюро средств автоматизации морских исследований Дальневосточного отделения Российской академии наук;Special Design Bureau of Marine Research Automation Devices of the Far Eastern Branch of the Russian Academy of Sciences
Ставропольская опытная станция по садоводству Северо-Кавказского зонального научно-исследовательского института садоводства и виноградарства Российской академии сельскохозяйственных наук;Stavropol Horticulture Experimental Station of the North Caucasus Zonal Research Institute of Horticulture and Viticulture of the Russian Academy of Agricultural Sciences
Ставропольский ботанический сад имени В.В. Скрипчинского Ставропольского научно-исследовательского института сельского хозяйства Российской академии сельскохозяйственных наук;V.V. Skripchinsky Stavropol Botanical Garden of the Stavropol Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Ставропольский научно-исследовательский институт животноводства и кормопроизводства Российской академии сельскохозяйственных наук;Stavropol Research Institute of Animal Husbandry and Fodder Production of the Russian Academy of Agricultural Sciences
Ставропольский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Stavropol Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Сыктывкарский государственный университет имени Питирима Сорокина;Syktyvkar State University named after Pitirim Sorokin
Тамбовский государственный технический университет;Tambov State Technical University
Тамбовский государственный университет имени Г.Р. Державина;Tambov State University named after G.R. Derzhavin
Тамбовский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Tambov Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Татарский научно-исследовательский институт агрохимии и почвоведения Российской академии сельскохозяйственных наук;Tatar Research Institute of Agrochemistry and Soil Science of the Russian Academy of Agricultural Sciences
Татарский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Tatar Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Тверской государственный технический университет;Tver State Technical University
Тверской государственный университет;Tver State University
Технологический институт сверхтвердых и новых углеродных материалов;Technological Institute of Superhard and New Carbon Materials
Тихоокеанский государственный университет;Pacific State University
Тихоокеанский институт биоорганической химии им. Г.Б. Елякова Дальневосточного отделения Российской академии наук;G.B. Elyakov Pacific Institute of Bioorganic Chemistry of the Far Eastern Branch of the Russian Academy of Sciences
Тихоокеанский институт географии Дальневосточного отделения Российской академии наук;Pacific Institute of Geography of the Far Eastern Branch of the Russian Academy of Sciences
Тихоокеанский океанологический институт им. В.И. Ильичева Дальневосточного отделения Российской академии наук;V.I. Ilyichev Pacific Oceanological Institute of the Far Eastern Branch of the Russian Academy of Sciences
Тобольская комплексная научная станция Уральского отделения Российской академии наук;Tobolsk Integrated Research Station of the Ural Branch of the Russian Academy of Sciences
Тольяттинский государственный университет;Togliatti State University
Томский государственный архитектурно-строительный университет;Tomsk State University of Architecture and Civil Engineering
Томский государственный университет систем управления и радиоэлектроники;Tomsk State University of Control Systems and Radioelectronics
Томский национальный исследовательский медицинский центр Российской академии наук;Tomsk National Research Medical Center of the Russian Academy of Sciences
Тувинский государственный университет;Tuva State University
Тувинский институт комплексного освоения природных ресурсов Сибирского отделения Российской академии наук;Tuva Institute of Integrated Development of Natural Resources of the Siberian Branch of the Russian Academy of Sciences
Тувинский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Tuva Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Тульский государственный университет;Tula State University
Тульский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Tula Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Тюменский государственный университет;Tyumen State University
Тюменский индустриальный университет;Tyumen Industrial University
Удмуртский государственный университет;Udmurt State University
Удмуртский институт истории, языка и литературы Уральского отделения Российской академии наук;Udmurt Institute of History, Language and Literature of the Ural Branch of the Russian Academy of Sciences
Удмуртский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Udmurt Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Удмуртский федеральный исследовательский центр Уральского отделения Российской академии наук;Udmurt Federal Research Center of the Ural Branch of the Russian Academy of Sciences
Ульяновский государственный технический университет;Ulyanovsk State Technical University
Ульяновский государственный университет;Ulyanovsk State University
Ульяновский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Ulyanovsk Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Уральский государственный архитектурно-художественный университет;Ural State University of Architecture and Art
Уральский государственный горный университет;Ural State Mining University
Уральский государственный лесотехнический университет;Ural State Forestry University
Уральский государственный экономический университет;Ural State University of Economics
Уральский государственный юридический университет;Ural State Law University
Уральский научно-исследовательский ветеринарный институт Российской академии сельскохозяйственных наук;Ural Veterinary Research Institute of the Russian Academy of Agricultural Sciences
Уральский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Ural Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Уральский федеральный аграрный научно-исследовательский центр Уральского отделения Российской академии наук;Ural Federal Agrarian Research Center of the Ural Branch of the Russian Academy of Sciences
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;Ural Federal University named after the First President of Russia B.N. Yeltsin
Уссурийская астрофизическая обсерватория Дальневосточного отделения Российской академии наук;Ussuriysk Astrophysical Observatory of the Far Eastern Branch of the Russian Academy of Sciences
Уфимский государственный авиационный технический университет;Ufa State Aviation Technical University
Уфимский государственный нефтяной технический университет;Ufa State Petroleum Technical University
Уфимский институт химии - обособленное структурное подразделение Федерального государственного бюджетного научного учреждения Уфимского федерального исследовательского центра Российской академии наук;Ufa Institute of Chemistry - separate structural subdivision of the Federal State Budgetary Scientific Institution Ufa Federal Research Center of the Russian Academy of Sciences
Уфимский федеральный исследовательский центр Российской академии наук;Ufa Federal Research Center of the Russian Academy of Sciences
Уфимский федеральный исследовательский цетр Российской академии наук. Институт физики молекул и кристаллов Уфимского научного центра Российской академии наук;Ufa Federal Research Center of the Russian Academy of Sciences. Institute of Molecule and Crystal Physics, Ufa Scientific Center of the Russian Academy of Sciences
Ухтинский государственный технический университет;Ukhta State Technical University
Фалёнская селекционная станция Зонального научно-исследовательского института сельского хозяйства Северо-Востока имени Н.В. Рудницкого Российской академии сельскохозяйственных наук;Falyonskaya breeding station of the N.V. Rudnitsky Zonal Research Institute of Agriculture of the North-East of the Russian Academy of Agricultural Sciences
Федеральное государственное автономное учреждение науки "Институт Китая и современной Азии Российской академии наук";Federal State Autonomous Institution of Science "Institute of China and Modern Asia of the Russian Academy of Sciences".
Федеральное государственное бюджетное природоохранное учреждение науки Ильменский государственный заповедник им. В.И. Ленина Уральского отделения Российской академии наук;Federal State Budgetary Conservation Institution of Science Ilmensky State Reserve named after V.I. Lenin of the Ural Branch of the Russian Academy of Sciences
Федеральное государственное бюджетное учреждение Институт иммунологии и физиологии Уральского отделения Российской академии наук;Federal State Budgetary Institution Institute of Immunology and Physiology of the Ural Branch of the Russian Academy of Sciences
Федеральный аграрный научный центр Республики Дагестан;Federal Agrarian Scientific Center of the Republic of Dagestan
Федеральный аграрный научный центр Северо-Востока имени Н.В.Рудницкого;N.V. Rudnitsky Federal Agrarian Scientific Center of the North-East
Федеральный Алтайский научный центр агробиотехнологий;Federal Altai Scientific Center of Agrobiotechnologies
Федеральный исследовательский центр "Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук";Federal Research Center "G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences".
Федеральный исследовательский центр "Информатика и управление" Российской академии наук;Federal Research Center "Informatics and Management" of the Russian Academy of Sciences
Федеральный исследовательский центр "Казанский научный центр Российской академии наук";Federal Research Center Kazan Scientific Center of the Russian Academy of Sciences
Федеральный исследовательский центр "Карельский научный центр Российской академии наук";Federal Research Center "Karelian Research Center of the Russian Academy of Sciences"
Федеральный исследовательский центр "Коми научный центр Уральского отделения Российской академии наук";Federal Research Center "Komi Scientific Center of the Ural Branch of the Russian Academy of Sciences"
Федеральный исследовательский центр "Красноярский научный центр Сибирского отделения Российской академии наук";Federal Research Center "Krasnoyarsk Research Center of the Siberian Branch of the Russian Academy of Sciences"
Федеральный исследовательский центр "Немчиновка";Federal Research Center "Nemchinovka"
Федеральный исследовательский центр "Пущинский научный центр биологических исследований Российской академии наук";Federal Research Center "Pushchino Scientific Center for Biological Research of the Russian Academy of Sciences"
Федеральный исследовательский центр "Фундаментальные основы биотехнологии" Российской академии наук;Federal Research Center "Fundamental Bases of Biotechnology" Russian Academy of Sciences
Федеральный исследовательский центр "Якутский научный центр Сибирского отделения Российской академии наук";Federal Research Center "Yakutsk Research Center of the Siberian Branch of the Russian Academy of Sciences"
Федеральный исследовательский центр вирусологии и микробиологии;Federal Research Center of Virology and Microbiology
Федеральный исследовательский центр всероссийский институт генетических ресурсов растений имени Н. И. Вавилова;Federal Research Center All-Russian Institute of Plant Genetic Resources named after N.I. Vavilov
Федеральный исследовательский центр животноводства - ВИЖ имени академика Л.К. Эрнста;Federal Research Center for Livestock Breeding - L.K. Ernst Research Institute of Animal Husbandry - VIZh named after Academician L.K. Ernst
Федеральный исследовательский центр институт прикладной математики им. М.В. Келдыша Российской академии наук;Federal Research Center of the Keldysh Institute of Applied Mathematics of the Russian Academy of Sciences. M.V. Keldysh Institute of Applied Mathematics of the Russian Academy of Sciences
Федеральный исследовательский центр Институт прикладной физики Российской академии наук;Federal Research Center Institute of Applied Physics of the Russian Academy of Sciences
Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук;Federal Research Center Institute of Cytology and Genetics, Siberian Branch of the Russian Academy of Sciences
Федеральный исследовательский центр информационных и вычислительных технологий;Federal Research Center for Information and Computing Technologies
Федеральный исследовательский центр комплексного изучения Арктики имени академика Н.П. Лаверова Российской академии наук;Federal Research Center for Integrated Arctic Studies named after Academician N.P. Laverov of the Russian Academy of Sciences
Федеральный исследовательский центр питания, биотехнологии и безопасности пищи;Federal Research Center for Nutrition, Biotechnology and Food Safety
Федеральный исследовательский центр проблем химической физики и медицинской химии РАН;Federal Research Center for Problems of Chemical Physics and Medical Chemistry RAS
Федеральный исследовательский центр Тюменский научный центр Сибирского отделения Российской академии наук;Federal Research Center Tyumen Scientific Center of the Siberian Branch of the Russian Academy of Sciences
Федеральный исследовательский центр угля и углехимии Сибирского отделения Российской академии наук;Federal Research Center of Coal and Coal Chemistry of the Siberian Branch of the Russian Academy of Sciences
Федеральный исследовательский центр фундаментальной и трансляционной медицины;Federal Research Center for Fundamental and Translational Medicine
Федеральный исследовательский центр химической физики им. Н.Н. Семенова Российской академии наук;Federal Research Center of Chemical Physics named after N.N. Semenov of the Russian Academy of Sciences
Федеральный исследовательский центр Южный научный центр Российской академии наук;Federal Research Center Southern Scientific Center of the Russian Academy of Sciences
Федеральный медицинский биофизический центр имени А.И. Бурназяна;A.I. Burnazyan Federal Medical Biophysical Center
Федеральный научно-исследовательский социологический центр Российской академии наук;Federal Research Sociological Center of the Russian Academy of Sciences
Федеральный научно-исследовательский центр "Кристаллография и фотоника" Российской академии наук;Federal Research Center "Crystallography and Photonics" of the Russian Academy of Sciences
Федеральный научно-клинический центр реаниматологии и реабилитологии;Federal Scientific and Clinical Center of Reanimatology and Rehabilitation Medicine
Федеральный научный агроинженерный центр ВИМ;Federal Scientific Agroengineering Center VIM
Федеральный научный центр - Всероссийский научно-исследовательский институт экспериментальной ветеринарии имени К.И.Скрябина и Я.Р.Коваленко Российской академии наук;Federal Scientific Center - All-Russian Research Institute of Experimental Veterinary Science named after K.I. Skryabin and Y.R. Kovalenko of the Russian Academy of Sciences
Федеральный научный центр "Владикавказский научный центр Российской академии наук";Federal Scientific Center "Vladikavkaz Scientific Center of the Russian Academy of Sciences"
Федеральный научный центр "Всероссийский научно-исследовательский и технологический институт птицеводства" Российской академии наук;Federal Scientific Center "All-Russian Research and Technological Institute of Poultry Breeding" of the Russian Academy of Sciences
Федеральный научный центр "Всероссийский научно-исследовательский институт масличных культур имени В.С. Пустовойта";Federal Scientific Center "All-Russian Research Institute of Oilseed Crops named after V.S. Pustovoit"
Федеральный научный центр "Кабардино-Балкарский научный центр Российской академии наук";Federal Scientific Center "Kabardino-Balkarian Scientific Center of the Russian Academy of Sciences"
Федеральный научный центр аграрной экономики и социального развития сельских территорий - всероссийский научно-исследовательский институт экономики сельского хозяйства;Federal Scientific Center for Agrarian Economics and Social Development of Rural Areas - All-Russian Research Institute of Agricultural Economics
Федеральный научный центр агробиотехнологий Дальнего Востока им. А.К. Чайки;A.K. Chaika Federal Scientific Center for Agrobiotechnologies of the Far East
Федеральный научный центр агроэкологии, комплексных мелиораций и защитного лесоразведения Российской Академии наук;Federal Scientific Center of Agroecology, Complex Amelioration and Protective Forestry of the Russian Academy of Sciences
Федеральный научный центр биологических систем и агротехнологий Российской академии наук;Federal Scientific Center of Biological Systems and Agrotechnologies of the Russian Academy of Sciences
Федеральный научный центр биоразнообразия наземной биоты Восточной Азии Дальневосточного отделения Российской академии наук;Federal Scientific Center for Terrestrial Biodiversity of East Asia, Far Eastern Branch of the Russian Academy of Sciences
Федеральный научный центр зернобобовых и крупяных культур;Federal Scientific Center of Grain Legumes and Cereal Crops
Федеральный научный центр имени И.В. Мичурина;I.V. Michurin Federal Research Center
Федеральный научный центр исследований и разработки иммунобиологических препаратов им. И.П. Чумакова РАН;I.P. Chumakov Federal Scientific Center for Research and Development of Immunobiological Preparations RAS
Федеральный научный центр исследований и разработки иммунобиологических препаратов им. М.П. Чумакова РАН;M.P. Chumakov Federal Scientific Center for Research and Development of Immunobiological Preparations RAS
Федеральный научный центр кормопроизводства и агроэкологии имени В.Р. Вильямса;V.R. Williams Federal Scientific Center for Fodder Production and Agroecology
Федеральный научный центр лубяных культур;Federal Scientific Center of bast crops
Федеральный научный центр Научно-исследовательский институт системных исследований Российской академии наук;Federal Scientific Center Research Institute of System Studies of the Russian Academy of Sciences
Федеральный научный центр овощеводства;Federal Scientific Center for Vegetable Growing
Федеральный научный центр пищевых систем им. В.М. Горбатова;Federal Scientific Center of Food Systems named after V.M. Gorbatov
Федеральный научный центр пчеловодства;Federal Scientific Center for Beekeeping
Федеральный Ростовский аграрный научный центр;Federal Rostov Agrarian Scientific Center
Физико-технический институт им. А.Ф. Иоффе Российской академии наук;Ioffe Institute of Physics and Technology of the Russian Academy of Sciences. A.F. Ioffe Institute of Physics and Technology of the Russian Academy of Sciences
Физико-технический институт Уральского отделения Российской академии наук;Physico-Technical Institute of the Ural Branch of the Russian Academy of Sciences
Физико-технологический институт Российской академии наук;Institute of Physics and Technology of the Russian Academy of Sciences
Физический институт им. П.Н. Лебедева Российской академии наук;Lebedev Physical Institute of the Russian Academy of Sciences. P.N. Lebedev Physical Institute of the Russian Academy of Sciences
Филиал Федерального государственного бюджетного учреждения науки Федерального научного центра "Владикавказский научный центр РАН" ВНЦ РАН Институт биомедицинских исследований;Branch of the Federal State Budgetary Institution of Science Federal Scientific Center "Vladikavkaz Scientific Center of RAS" VNTs RAS Institute of Biomedical Research
